tournament,fristPlayer,secondPlayer,headToHeadFirst,headToHeadSecond,resultFirst,resultSecond,date
Barcelona,Nadal R. (1),Tsitsipas S. (2),7,2,,,04/25/2021
Belgrade,Karatsev A. (3),Berrettini M. (2),0,0,,,04/25/2021
Tallahassee chall.,Brooksby J.,Fratangelo B.,0,1,,,04/25/2021
Rome 2 challenger,Pellegrino A.,Gaston H. (5),,,2,1,04/25/2021
Futures 2021,Guinard M.,Catarina L.,,,2,0,04/25/2021
Futures 2021,Negritu C.,Marcondes I.,,,2,0,04/25/2021
Futures 2021,Heyman C.,Marozsan F.,,,2,1,04/25/2021
Futures 2021,Crawford O.,Michalski D.,,,2,1,04/25/2021
Futures 2021,Setkic A.,Pichler D.,,,2,0,04/25/2021
UTR Pro Tennis Series,Jasika O.,Ma W.,2,0,,,04/25/2021
UTR Pro Tennis Series,Beale J.,Jones S.,0,0,,,04/25/2021
UTR Pro Tennis Series,Jasika O.,Jones S.,0,0,,,04/25/2021
UTR Pro Tennis Series,Sweeny D.,McCabe J.,,,2,0,04/25/2021
UTR Pro Tennis Series,Schoolkate T.,McCabe J.,1,0,,,04/25/2021
UTR Pro Tennis Series,Addison A.,Mehrotra A.,1,0,,,04/25/2021
UTR Pro Tennis Series,Hoole C.,Puttergill C.,1,3,,,04/25/2021
Estoril,Borges N.,Carballes Baena R. (2),,,2,0,04/25/2021
Estoril,Martinez P. (4),Huesler M.,,,2,0,04/25/2021
Estoril,Alcaraz C. (6),Taberner C.,,,2,0,04/25/2021
Estoril,Munar J. (1),Silva F.,0,0,,,04/25/2021
Futures 2021,Tanner G.,Syed Naguib S.,0,0,,,04/25/2021
Futures 2021,Pietri B.,Vasiliauskas M.,0,0,,,04/25/2021
Futures 2021,Thirouin J.,Moraing O.,0,0,,,04/25/2021
Futures 2021,Sakellaridis M.,Rizzuti G.,0,0,,,04/25/2021
Futures 2021,Larwig N.,Martinez L.,0,0,,,04/25/2021
Futures 2021,Lagasio M.,Kirci K.,0,0,,,04/25/2021
Futures 2021,Maggioli E.,Andaloro F.,0,0,,,04/25/2021
Futures 2021,Chaiyarin C.,Terziev S.,0,0,,,04/25/2021
Futures 2021,Siniakov D.,Tomescu D.,0,0,,,04/25/2021
Futures 2021,Sinclair C.,Saban B.,0,0,,,04/25/2021
Futures 2021,Dell'elba V.,Prihoda J.,0,0,,,04/25/2021
Futures 2021,Erhard M.,Bosio G.,0,0,,,04/25/2021
Futures 2021,Klok D.,Ivanov V.,0,0,,,04/25/2021
Futures 2021,Peters F.,Mares V.,0,0,,,04/25/2021
Futures 2021,Rossi M.,Corbinais S.,0,0,,,04/25/2021
Futures 2021,Chepelev A.,Graf D.,0,0,,,04/25/2021
Futures 2021,Dellavedova M.,Cohen E.,0,0,,,04/25/2021
Futures 2021,Bilgin B.,Ponce De Leon Gomila M.,0,0,,,04/25/2021
Futures 2021,Dogan M.,Aksu C.,0,0,,,04/25/2021
Futures 2021,Vernier M.,Zima L.,0,0,,,04/25/2021
Futures 2021,Beauge M.,Sakellaridis S.,0,0,,,04/25/2021
Futures 2021,Savelev D.,Dossetter C.,0,0,,,04/25/2021
Futures 2021,Maestrelli F.,Kim C.,0,0,,,04/25/2021
Futures 2021,Frunza N.,Gramaticopolo B.,0,0,,,04/25/2021
Futures 2021,Gadamauri B.,Balci O.,0,0,,,04/25/2021
Futures 2021,Pucalka J.,Salazar A.,0,0,,,04/25/2021
Futures 2021,Ginat R.,Noce G.,0,0,,,04/25/2021
Futures 2021,Woerner P.,Melnic V.,0,0,,,04/25/2021
Futures 2021,Sada I.,Poritzky E.,0,0,,,04/25/2021
Futures 2021,Parshutin D.,Link J.,0,0,,,04/25/2021
Futures 2021,Saitoh K.,Glinka D.,0,0,,,04/25/2021
Futures 2021,Ferrari M.,Korolev V.,0,0,,,04/25/2021
Futures 2021,Ovcharenko O.,Sveridenko V.,,,2,0,04/25/2021
Futures 2021,Yamanaka T.,Hopp M.,,,2,0,04/25/2021
Futures 2021,Laurent Y.,Catani L.,0,0,,,04/25/2021
Futures 2021,Poutis S.,Elkamony A.,0,0,,,04/25/2021
Futures 2021,Mania M.,Ribeiro E.,0,0,,,04/25/2021
Futures 2021,Khotkov O.,Alabdullah B.,0,0,,,04/25/2021
Futures 2021,Abd Hazli I.,Cigarran T.,0,0,,,04/25/2021
Futures 2021,Petrovic L.,Sigurdsson E.,0,0,,,04/25/2021
Futures 2021,Magnusson A.,Rosales R.,0,0,,,04/25/2021
Futures 2021,Tanner G.,Zhibul D.,,,2,0,04/25/2021
Futures 2021,Fellin M.,Clark M.,,,2,0,04/25/2021
Futures 2021,Kawakami R.,Vianello M.,,,2,0,04/25/2021
Futures 2021,Syed Naguib S.,Chin C.,,,2,1,04/25/2021
Futures 2021,Lavagno E.,Mubarak A.,,,2,0,04/25/2021
Futures 2021,Kaufmann H.,Alshati A.,,,2,0,04/25/2021
Futures 2021,Sadaoui M.,Gobat A.,,,2,1,04/25/2021
Futures 2021,Vasiliauskas M.,Omar Z.,,,2,0,04/25/2021
Futures 2021,Ricca G.,Heaney-Secord C.,,,2,0,04/25/2021
Futures 2021,Bouquier A.,Kos D.,,,2,0,04/25/2021
Futures 2021,Pietri B.,Shvets V.,,,2,0,04/25/2021
Futures 2021,Marmousez L.,Perez Martin I.,,,2,0,04/25/2021
Futures 2021,Maassen G.,De Carvalho V.,,,2,0,04/25/2021
Futures 2021,Takamisawa T.,Maguire C.,,,2,0,04/25/2021
Futures 2021,Wendelken H.,Mishkin K.,,,2,0,04/25/2021
Futures 2021,Bertola R.,Janis J.,,,2,0,04/25/2021
Futures 2021,Hodkin S.,Oueslati M.,,,2,0,04/25/2021
Futures 2021,O'Hoisin O.,Cherkovets V.,,,2,0,04/25/2021
Futures 2021,Andreu Garcia F.,Giersiepen Garcia M.,,,2,0,04/25/2021
Futures 2021,Bresciani L.,Guerrieri A.,,,2,1,04/25/2021
Futures 2021,Jovic V.,Arribage T.,,,2,1,04/25/2021
Futures 2021,Alosha Ushakov N.,Martinez Arjona S.,,,2,1,04/25/2021
Futures 2021,Kravchenko P.,Zakaryia F.,0,0,,,04/25/2021
Futures 2021,Barr E.,Vilicich B.,0,0,,,04/25/2021
Futures 2021,Emesz B.,Stuurman R.,0,0,,,04/25/2021
Futures 2021,Gill F.,Pecorella A.,0,0,,,04/25/2021
Futures 2021,Pereira J.,Garcia Mestre J.,0,0,,,04/25/2021
Futures 2021,Penzlin J.,O'Neill D.,,,2,0,04/25/2021
Futures 2021,Datei G.,Pennaforti G.,,,2,0,04/25/2021
Futures 2021,Costa H.,Sierra Malinowska A.,0,0,,,04/25/2021
Futures 2021,Lapalu V.,Delage P.,0,0,,,04/25/2021
Futures 2021,Loffhagen G.,Quesada Perez T.,0,0,,,04/25/2021
Futures 2021,Antonio Morales M.,Echevarri J.,0,0,,,04/25/2021
Futures 2021,Deschamps A.,Segura Onichtchenko A.,,,2,0,04/25/2021
Futures 2021,Mitsui S.,Ichikawa S.,,,2,0,04/25/2021
Futures 2021,Deleersnyder C.,Franzini M.,,,2,0,04/25/2021
Futures 2021,Svajda Z.,Pecci A.,,,2,0,04/25/2021
Futures 2021,Bittoun Kouzmine C.,Pereira M.,,,2,0,04/25/2021
Futures 2021,Yoshimura D.,Yehayan M.,,,2,0,04/25/2021
Futures 2021,Picchione A.,Musitelli F.,,,2,0,04/25/2021
Futures 2021,Serafini M.,Del Federico A.,,,2,0,04/25/2021
Futures 2021,Ventre A.,Elamin A.,,,2,0,04/25/2021
Futures 2021,Prihodko O.,Deschamps T.,0,0,,,04/25/2021
Futures 2021,Shangichev L.,De Rossi M.,0,0,,,04/25/2021
Futures 2021,Moghini G.,Endler M.,0,0,,,04/25/2021
Futures 2021,Jermar J.,Gabarro X.,0,0,,,04/25/2021
Futures 2021,Coppini A.,Rincon D.,0,0,,,04/25/2021
Futures 2021,De Boes M.,Ragazzi A.,0,0,,,04/25/2021
Futures 2021,Hamed M.,Alemany P.,0,0,,,04/25/2021
Futures 2021,Stafford J.,Kikuchi Y.,0,0,,,04/25/2021
Futures 2021,Brumm J.,Brun T.,0,0,,,04/25/2021
Futures 2021,Pierre H.,Polukhin S.,0,0,,,04/25/2021
Futures 2021,Kawahashi Y.,Knoess V.,0,0,,,04/25/2021
Futures 2021,Davies G.,Sibille I.,0,0,,,04/25/2021
Futures 2021,Campese C.,Armeni D.,0,0,,,04/25/2021
Futures 2021,Waldner N.,Vasa I.,0,0,,,04/25/2021
Futures 2021,Coelho F.,Vandermeersch C.,,,2,0,04/25/2021
Futures 2021,Cohen A.,Damas M.,0,0,,,04/25/2021
Futures 2021,Barroso Campos A.,Perello Cabezas J.,0,0,,,04/25/2021
Futures 2021,Garcian A.,Marchetti F.,0,0,,,04/25/2021
Futures 2021,Uzhylovsky V.,Catini N.,0,0,,,04/25/2021
Futures 2021,Rossi L.,Kolisnyk O.,0,0,,,04/25/2021
Futures 2021,Ruzgas M.,Affes M.,0,0,,,04/25/2021
Futures 2021,Nhavene B.,Imamura M.,0,0,,,04/25/2021
Futures 2021,Benzal Alia I.,Cabrera Bello I.,0,0,,,04/25/2021
Futures 2021,Giotis R.,Breysach M.,0,0,,,04/25/2021
Futures 2021,Iannaccone F.,Padro Parra A.,0,0,,,04/25/2021
Futures 2021,Borras Isern J.,Sanchis Melero H.,0,0,,,04/25/2021
Futures 2021,Rudiukov I.,Roglan A.,0,0,,,04/25/2021
Futures 2021,El Kansouli Y.,Gruenefeldt N.,0,0,,,04/25/2021
Futures 2021,De Rosa M.,Ibrahim K.,0,0,,,04/25/2021
Futures 2021,Garcia Garcia J.,Padilla Perez P.,0,0,,,04/25/2021
Futures 2021,Makhlouf S.,De La Bassetiere C.,0,0,,,04/25/2021
Futures 2021,Abdellatif Y.,Bielinskyi O.,0,0,,,04/25/2021
Futures 2021,Stone Z.,El-Moslemany O.,0,0,,,04/25/2021
Futures 2021,Abou Taleb B.,Inui Y.,0,0,,,04/25/2021
Futures 2021,Schuetze C.,Eldin M.,0,0,,,04/25/2021
Futures 2021,Qabazard E.,Gabr A.,0,0,,,04/25/2021
Futures 2021,Loutfy O.,El Sayed A.,0,0,,,04/25/2021
Futures 2021,Sadek Y.,Ortenzi G.,0,0,,,04/25/2021
Munich,McDonald M. (8),Martin A. (3),,,2,0,04/25/2021
Munich,Ivashka I. (6),Berankis R. (1),,,2,1,04/25/2021
Munich,Galan D. (7),Gombos N. (2),,,2,0,04/25/2021
Munich,Stebe C.,Novak D. (5),,,2,0,04/25/2021
Ostrava challenger,Klein L. (7),Paulson A.,,,2,1,04/25/2021
Ostrava challenger,Molcan A. (8),Vrbensky M.,,,2,0,04/25/2021
Ostrava challenger,Moraing M. (6),Mukund S.,,,2,0,04/25/2021
Ostrava challenger,Sachko V.,Gabashvili T. (4),,,2,1,04/25/2021
Ostrava challenger,Molleker R. (2),Svrcina D.,,,2,1,04/25/2021
Ostrava challenger,Miedler L.,Grenier H. (3),,,1,0,04/25/2021
Ostrava challenger,Otte O. (1),Bellucci T.,1,0,,,04/25/2021
Ostrava challenger,Pavlasek A.,Jaziri M. (5),0,0,,,04/25/2021
Roma 5 challenger,Lamasine T. (3),Lipovsek Puches T.,,,2,0,04/25/2021
Roma 5 challenger,Meligeni Rodrigues Alves F. (1),Claverie L.,,,2,0,04/25/2021
Roma 5 challenger,Karlovskiy E. (7),Galovic V.,,,2,0,04/25/2021
Roma 5 challenger,Gigante M.,Krstin P. (8),,,2,1,04/25/2021
Roma 5 challenger,Serdarusic N.,Zekic M.,,,2,0,04/25/2021
Roma 5 challenger,Bonadio R.,Kotov P. (5),,,2,0,04/25/2021
Roma 5 challenger,Bergs Z. (4),Ajdukovic D.,,,2,1,04/25/2021
Roma 5 challenger,Sijsling I.,Vatutin A. (6),,,2,0,04/25/2021
Barcelona,Nadal R. (1),Carreno-Busta P. (6),,,2,0,04/24/2021
Barcelona,Tsitsipas S. (2),Sinner J. (11),,,2,0,04/24/2021
Belgrade,Berrettini M. (2),Daniel T.,,,2,1,04/24/2021
Belgrade,Karatsev A. (3),Djokovic N. (1),,,2,1,04/24/2021
Tallahassee chall.,Brooksby J.,Mena F.,,,2,1,04/24/2021
Tallahassee chall.,Fratangelo B.,Kudla D. (2),,,2,0,04/24/2021
Rome 2 challenger,Pellegrino A.,Kopriva V.,,,2,1,04/24/2021
Rome 2 challenger,Gaston H. (5),Varillas J. (6),,,2,0,04/24/2021
Rome 2 challenger,Kopriva V.,Giustino L. (7),,,2,1,04/24/2021
Futures 2021,Guinard M.,Mpetshi Perricard G.,,,2,1,04/24/2021
Futures 2021,Catarina L.,Tseng C.,,,2,1,04/24/2021
Futures 2021,Negritu C.,Giacalone O.,,,2,0,04/24/2021
Futures 2021,Marcondes I.,Gutierrez O.,,,2,0,04/24/2021
Futures 2021,Michalski D.,Capecchi D.,,,2,1,04/24/2021
Futures 2021,Setkic A.,Prechtel S.,,,2,1,04/24/2021
Futures 2021,Crawford O.,Winter Lopez B.,,,2,0,04/24/2021
Futures 2021,Pichler D.,Kekez D.,,,2,0,04/24/2021
Futures 2021,Marozsan F.,Forti F.,,,2,1,04/24/2021
Futures 2021,Heyman C.,Frunza N.,,,2,0,04/24/2021
UTR Pro Tennis Series,Papac T.,Tricerri S.,,,2,0,04/24/2021
Estoril,Silva F.,Nakashima B. (7),,,2,0,04/24/2021
Estoril,Munar J. (1),Fabbiano T.,,,2,0,04/24/2021
Estoril,Taberner C.,Domingues J.,,,2,0,04/24/2021
Estoril,Alcaraz C. (6),Griekspoor T.,,,2,0,04/24/2021
Estoril,Martinez P. (4),Van De Zandschulp B.,,,2,1,04/24/2021
Estoril,Huesler M.,Sousa P. (5),,,2,0,04/24/2021
Estoril,Carballes Baena R. (2),Laaksonen H.,,,2,0,04/24/2021
Estoril,Borges N.,Broady L. (8),,,2,0,04/24/2021
Munich,Stebe C.,Sugita Y. (4),,,2,0,04/24/2021
Munich,Novak D. (5),Gunneswaran P.,,,2,1,04/24/2021
Munich,Gombos N. (2),Nagal S.,,,2,1,04/24/2021
Munich,Galan D. (7),Zverev M.,,,2,0,04/24/2021
Munich,Berankis R. (1),Rehberg M.,,,2,1,04/24/2021
Munich,Ivashka I. (6),Majchrzak K.,,,2,0,04/24/2021
Munich,Martin A. (3),Rodionov J.,,,2,0,04/24/2021
Munich,McDonald M. (8),Gojowczyk P.,,,2,0,04/24/2021
Barcelona,Carreno-Busta P. (6),Schwartzman D. (4),,,2,1,04/23/2021
Barcelona,Nadal R. (1),Norrie C.,,,2,0,04/23/2021
Barcelona,Tsitsipas S. (2),Auger Aliassime F. (10),,,2,0,04/23/2021
Barcelona,Sinner J. (11),Rublev A. (3),,,2,0,04/23/2021
Belgrade,Karatsev A. (3),Mager G.,,,2,0,04/23/2021
Belgrade,Daniel T.,Delbonis F.,,,2,1,04/23/2021
Belgrade,Djokovic N. (1),Kecmanovic M. (8),,,2,0,04/23/2021
Belgrade,Berrettini M. (2),Krajinovic F. (5),,,2,0,04/23/2021
Salinas challenger,Mejia N.,Barrios Vera M. (5),,,2,1,04/23/2021
Salinas challenger,Jarry N.,Tirante T.,,,2,0,04/23/2021
Salinas challenger,Celikbilek A. (6),Van Rijthoven T.,,,2,1,04/23/2021
Salinas challenger,Ugo Carabelli C.,Menendez-Maceiras A.,,,2,0,04/23/2021
Tallahassee chall.,Kudla D. (2),Jianu F.,,,2,1,04/23/2021
Tallahassee chall.,Fratangelo B.,Kwiatkowski T.,,,2,0,04/23/2021
Tallahassee chall.,Brooksby J.,Mmoh M. (8),,,1,0,04/23/2021
Tallahassee chall.,Mena F.,Torpegaard M.,,,2,0,04/23/2021
Rome 2 challenger,Pellegrino A.,Ofner S. (4),,,2,1,04/23/2021
Rome 2 challenger,Varillas J. (6),Ymer E.,,,2,0,04/23/2021
Rome 2 challenger,Gaston H. (5),Lamasine T.,,,2,0,04/23/2021
Futures 2021,Tseng C.,Hamou M.,,,2,1,04/23/2021
Futures 2021,Guinard M.,Cazaux A.,,,1,0,04/23/2021
Futures 2021,Mpetshi Perricard G.,Lopez San Martin A.,,,2,1,04/23/2021
Futures 2021,Catarina L.,Denolly C.,,,2,0,04/23/2021
Futures 2021,Giacalone O.,Grigelis L.,,,2,1,04/23/2021
Futures 2021,Negritu C.,Chung Y.,,,1,0,04/23/2021
Futures 2021,Winter Lopez B.,Barrena A.,,,2,0,04/23/2021
Futures 2021,Setkic A.,Madarasz G.,,,2,0,04/23/2021
Futures 2021,Kekez D.,Poljicak M.,,,2,0,04/23/2021
Futures 2021,Michalski D.,Mochizuki S.,,,2,1,04/23/2021
Futures 2021,Capecchi D.,Galarza J.,,,2,0,04/23/2021
Futures 2021,Crawford O.,Vidal Azorin J.,,,2,1,04/23/2021
Futures 2021,Forti F.,Mitsui S.,,,2,1,04/23/2021
Futures 2021,Marcondes I.,Yitbarek S.,,,1,0,04/23/2021
Futures 2021,Frunza N.,Arnaboldi F.,,,2,0,04/23/2021
Futures 2021,Gutierrez O.,Mridha J.,,,2,0,04/23/2021
Futures 2021,Pichler D.,Bocchi L.,,,2,0,04/23/2021
Futures 2021,Prechtel S.,Erler A.,,,2,0,04/23/2021
Futures 2021,Heyman C.,Ovcharenko O.,,,2,1,04/23/2021
Futures 2021,Marozsan F.,Vanneste J.,,,2,0,04/23/2021
UTR Pro Tennis Series,Schoolkate T.,Addison A.,,,2,1,04/23/2021
UTR Pro Tennis Series,Puodziunas S.,Volonski N.,,,2,0,04/23/2021
UTR Pro Tennis Series,Beale J.,Puttergill C.,,,2,1,04/23/2021
UTR Pro Tennis Series,Kelly D.,Jasika O.,,,2,0,04/23/2021
UTR Pro Tennis Series,Papac T.,Rowing L.,,,2,0,04/23/2021
UTR Pro Tennis Series,Sweeny D.,Tricerri S.,,,2,0,04/23/2021
Barcelona,Carreno-Busta P. (6),Zapata Miralles B.,,,2,0,04/22/2021
Barcelona,Schwartzman D. (4),Moutet C.,,,2,0,04/22/2021
Barcelona,Nadal R. (1),Nishikori K.,,,2,1,04/22/2021
Barcelona,Norrie C.,Goffin D. (8),,,1,0,04/22/2021
Barcelona,Tsitsipas S. (2),De Minaur A. (14),,,2,0,04/22/2021
Barcelona,Sinner J. (11),Bautista-Agut R. (5),,,2,0,04/22/2021
Barcelona,Auger Aliassime F. (10),Shapovalov D. (7),,,2,0,04/22/2021
Barcelona,Rublev A. (3),Ramos-Vinolas A.,,,2,1,04/22/2021
Belgrade,Karatsev A. (3),Bedene A.,,,2,1,04/22/2021
Belgrade,Mager G.,Popyrin A.,,,2,0,04/22/2021
Belgrade,Delbonis F.,Lajovic D. (4),,,2,1,04/22/2021
Belgrade,Daniel T.,Millman J. (7),,,2,1,04/22/2021
Salinas challenger,Mejia N.,Casanova H.,,,2,0,04/22/2021
Salinas challenger,Barrios Vera M. (5),Sels J.,,,2,0,04/22/2021
Salinas challenger,Celikbilek A. (6),Ortega-Olmedo R.,,,2,1,04/22/2021
Salinas challenger,Van Rijthoven T.,Dougaz A.,,,2,0,04/22/2021
Tallahassee chall.,Kwiatkowski T.,Jung J. (4),,,2,0,04/22/2021
Tallahassee chall.,Fratangelo B.,Watanuki Y.,,,1,0,04/22/2021
Tallahassee chall.,Kudla D. (2),Ritschard A.,,,2,1,04/22/2021
Tallahassee chall.,Jianu F.,Menezes J.,,,2,0,04/22/2021
Rome 2 challenger,Kopriva V.,Tomic B.,,,2,0,04/22/2021
Rome 2 challenger,Ofner S. (4),Zeppieri G.,,,2,0,04/22/2021
Rome 2 challenger,Giustino L. (7),Stakhovsky S.,,,2,0,04/22/2021
Rome 2 challenger,Pellegrino A.,Cobolli F.,,,2,0,04/22/2021
Futures 2021,Tseng C.,Fils A.,,,2,0,04/22/2021
Futures 2021,Hamou M.,Legout T.,,,2,0,04/22/2021
Futures 2021,Lopez San Martin A.,Fanselow S.,,,2,1,04/22/2021
Futures 2021,Mpetshi Perricard G.,Kirkin E.,,,2,0,04/22/2021
Futures 2021,Guinard M.,Added D.,,,2,1,04/22/2021
Futures 2021,Catarina L.,Stouff V.,,,2,0,04/22/2021
Futures 2021,Denolly C.,de Schepper K.,,,2,1,04/22/2021
Futures 2021,Cazaux A.,Martin Tiffon P.,,,2,0,04/22/2021
Futures 2021,Grigelis L.,Bouquier A.,,,2,0,04/22/2021
Futures 2021,Forti F.,Basso A.,,,2,1,04/22/2021
Futures 2021,Negritu C.,Langmo C.,,,2,0,04/22/2021
Futures 2021,Mitsui S.,Bobrov B.,,,2,1,04/22/2021
Futures 2021,Erler A.,Miceli M.,,,2,0,04/22/2021
Futures 2021,Chung Y.,Coulibaly E.,,,2,0,04/22/2021
Futures 2021,Poljicak M.,Beaupain S.,,,2,1,04/22/2021
Futures 2021,Marcondes I.,Imai S.,,,2,0,04/22/2021
Futures 2021,Bocchi L.,Marmousez L.,,,2,0,04/22/2021
Futures 2021,Setkic A.,Cuenin S.,,,2,0,04/22/2021
Futures 2021,Michalski D.,Passaro F.,,,2,0,04/22/2021
Futures 2021,Crawford O.,Sorrentino L.,,,2,0,04/22/2021
Futures 2021,Barrena A.,Lavagno E.,,,2,0,04/22/2021
Futures 2021,Vidal Azorin J.,Malla B.,,,2,1,04/22/2021
Futures 2021,Giacalone O.,Donski A.,,,2,1,04/22/2021
Futures 2021,Mridha J.,Tailleu P.,,,2,0,04/22/2021
Futures 2021,Yitbarek S.,Dembek M.,,,2,1,04/22/2021
Futures 2021,Gutierrez O.,Jovic V.,,,2,0,04/22/2021
Futures 2021,Frunza N.,Noguchi R.,,,2,0,04/22/2021
Futures 2021,Arnaboldi F.,Oliel Y.,,,2,0,04/22/2021
Futures 2021,Marozsan F.,Woerner P.,,,2,0,04/22/2021
Futures 2021,Vanneste J.,Vincent Ruggeri S.,,,2,0,04/22/2021
Futures 2021,Heyman C.,Maggioli E.,,,2,0,04/22/2021
Futures 2021,Capecchi D.,Ragazzi A.,,,2,0,04/22/2021
Futures 2021,Prechtel S.,Jacquet K.,,,2,1,04/22/2021
Futures 2021,Madarasz G.,Rogic Hadzalic A.,,,2,0,04/22/2021
Futures 2021,Pichler D.,Sigsgaard C.,,,2,0,04/22/2021
Futures 2021,Winter Lopez B.,Asrawy A.,,,2,0,04/22/2021
Futures 2021,Kekez D.,Vilardo F.,,,2,0,04/22/2021
Futures 2021,Mochizuki S.,Lopez Montagud C.,,,1,0,04/22/2021
Futures 2021,Galarza J.,Zekic M.,,,2,0,04/22/2021
Futures 2021,Ovcharenko O.,Cacao T.,,,2,1,04/22/2021
UTR Pro Tennis Series,Kelly D.,Puodziunas S.,,,2,0,04/22/2021
UTR Pro Tennis Series,Schoolkate T.,Jones S.,,,2,0,04/22/2021
UTR Pro Tennis Series,Puttergill C.,Tricerri S.,,,2,0,04/22/2021
UTR Pro Tennis Series,Mehrotra A.,Bouzige M.,,,2,1,04/22/2021
UTR Pro Tennis Series,McCabe J.,Tu L.,,,2,0,04/22/2021
UTR Pro Tennis Series,Jasika O.,Hoole C.,,,2,1,04/22/2021
Barcelona,Schwartzman D. (4),Tiafoe F.,,,2,1,04/21/2021
Barcelona,Nishikori K.,Garin C. (13),,,2,1,04/21/2021
Barcelona,Nadal R. (1),Ivashka I.,,,2,1,04/21/2021
Barcelona,Zapata Miralles B.,Fognini F. (9),,,1,0,04/21/2021
Barcelona,Moutet C.,Evans D. (16),,,2,1,04/21/2021
Barcelona,Carreno-Busta P. (6),Thompson J.,,,2,0,04/21/2021
Barcelona,Tsitsipas S. (2),Munar J.,,,2,0,04/21/2021
Barcelona,De Minaur A. (14),Bublik A.,,,2,0,04/21/2021
Barcelona,Auger Aliassime F. (10),Musetti L.,,,2,1,04/21/2021
Barcelona,Rublev A. (3),Gaio F.,,,2,0,04/21/2021
Barcelona,Ramos-Vinolas A.,Mannarino A. (17),,,2,0,04/21/2021
Belgrade,Krajinovic F. (5),Milojevic N.,,,2,0,04/21/2021
Belgrade,Berrettini M. (2),Cecchinato M.,,,2,0,04/21/2021
Belgrade,Djokovic N. (1),Kwon S.,,,2,0,04/21/2021
Belgrade,Kecmanovic M. (8),Rinderknech A.,,,2,1,04/21/2021
Salinas challenger,Ugo Carabelli C.,Wang T.,,,2,0,04/21/2021
Salinas challenger,Tirante T.,King K.,,,2,0,04/21/2021
Salinas challenger,Jarry N.,Sekiguchi S.,,,2,0,04/21/2021
Salinas challenger,Menendez-Maceiras A.,Eubanks C. (4),,,2,0,04/21/2021
Tallahassee chall.,Brooksby J.,Seyboth Wild T. (1),,,2,0,04/21/2021
Tallahassee chall.,Torpegaard M.,Sakamoto P.,,,2,1,04/21/2021
Tallahassee chall.,Mmoh M. (8),Harrison R.,,,2,0,04/21/2021
Tallahassee chall.,Mena F.,Schnur B.,,,2,1,04/21/2021
Tallahassee chall.,Kudla D. (2),Rybakov A.,,,2,1,04/21/2021
Rome 2 challenger,Gaston H. (5),Kokkinakis T.,,,2,0,04/21/2021
Rome 2 challenger,Lamasine T.,Lorenzi P. (3),,,2,1,04/21/2021
Rome 2 challenger,Ofner S. (4),Molcan A.,,,2,1,04/21/2021
Rome 2 challenger,Kopriva V.,Dellien H. (2),,,2,0,04/21/2021
Rome 2 challenger,Varillas J. (6),Marcora R.,,,2,0,04/21/2021
Rome 2 challenger,Giustino L. (7),Horansky F.,,,2,0,04/21/2021
Rome 2 challenger,Tomic B.,Bemelmans R.,,,2,0,04/21/2021
Rome 2 challenger,Ymer E.,Andreozzi G.,,,2,1,04/21/2021
Futures 2021,Fanselow S.,Sanchez Izquierdo N.,,,2,0,04/21/2021
Futures 2021,Hamou M.,Roumane R.,,,1,0,04/21/2021
Futures 2021,Lopez San Martin A.,Crepatte B.,,,2,0,04/21/2021
Futures 2021,Martin Tiffon P.,Eriksson M.,,,2,0,04/21/2021
Futures 2021,Denolly C.,Tatlot J.,,,2,1,04/21/2021
Futures 2021,Cazaux A.,Poullain L.,,,2,0,04/21/2021
Futures 2021,Catarina L.,Martineau M.,,,2,0,04/21/2021
Futures 2021,Added D.,Faivre P.,,,2,1,04/21/2021
Futures 2021,de Schepper K.,Droguet T.,,,2,0,04/21/2021
Futures 2021,Lopez Montagud C.,De La Fuente S.,,,2,1,04/21/2021
Futures 2021,Asrawy A.,Ortenzi G.,,,2,1,04/21/2021
Futures 2021,Michalski D.,Giacomini L.,,,2,1,04/21/2021
Futures 2021,Ragazzi A.,Paz J.,,,2,1,04/21/2021
Futures 2021,Passaro F.,El Mihdawy A.,,,2,0,04/21/2021
Futures 2021,Zekic M.,Gill F.,,,2,1,04/21/2021
Futures 2021,Galarza J.,Wehnelt K.,,,2,0,04/21/2021
Futures 2021,Mochizuki S.,Alcalde J.,,,2,0,04/21/2021
Futures 2021,Marcondes I.,Iradukunda G.,,,2,1,04/21/2021
Futures 2021,Erler A.,Srbljak G.,,,2,0,04/21/2021
Futures 2021,Grigelis L.,Tessa L.,,,2,0,04/21/2021
Futures 2021,Poljicak M.,Jakic M.,,,2,0,04/21/2021
Futures 2021,Bouquier A.,Neuchrist M.,,,2,1,04/21/2021
Futures 2021,Rogic Hadzalic A.,Barun B.,,,2,0,04/21/2021
Futures 2021,Sigsgaard C.,Blanchet U.,,,2,0,04/21/2021
Futures 2021,Setkic A.,Goldsteiner P.,,,2,0,04/21/2021
Futures 2021,Gutierrez O.,Pietri B.,,,2,0,04/21/2021
Futures 2021,Madarasz G.,Mertens Y.,,,2,1,04/21/2021
Futures 2021,Mridha J.,Martinez M.,,,2,0,04/21/2021
Futures 2021,Kekez D.,Gautier A.,,,2,0,04/21/2021
Futures 2021,Bocchi L.,Ivanovski K.,,,2,1,04/21/2021
Futures 2021,Barrena A.,Sanchez Jover C.,,,2,1,04/21/2021
Futures 2021,Crawford O.,Missere F.,,,2,0,04/21/2021
